actuator's  autocrat's
aspirant's  partisan's
alumna's  manual's
behaviourism's  misbehaviour's
balm's  lamb's
barony's  baryon's
bar's  bra's
citadel's  dialect's
article's  recital's
conservation's  conversation's
caller's  cellar's
canoe's  ocean's
creator's  reactor's
cantor's  carton's
statement's  testament's
integral's  triangle's
grape's  pager's
earth's  heart's
mantel's  mantle's
male's  meal's
planet's  platen's
mane's  name's
mare's  ream's
mate's  meat's team's
algorithm's  logarithm's
monograph's  phonogram's
hasn't  shan't
lair's  liar's
patrol's  portal's
layout's  outlay's
lap's  pal's
awl's  law's
atom's  moat's
arm's  ram's
nap's  pan's
warp's  wrap's
pat's  tap's
art's  rat's
creditor's  director's
sceptre's  spectre's
infidel's  infield's
dirge's  ridge's
density's  destiny's
drier's  rider's
dog's  god's
ether's  there's three's
meter's  metre's
setter's  tester's
file's  life's
hell's  she'll
hornet's  throne's
horse's  shore's
lime's  mile's
lien's  line's
islet's  stile's
lemon's  melon's
eon's  one's
onset's  stone's
net's  ten's
protest's  spotter's
gum's  mug's
north's  thorn's
host's  shot's
how's  who's
lion's  loin's
lisp's  slip's
isn't  tin's
pit's  tip's
spot's  stop's
broadcasters  rebroadcasts
broadcaster  rebroadcast
backwards  drawbacks
backward  drawback
bacterial  calibrate
balancer  barnacle
abreact  cabaret
flashback  halfbacks
balsamic  cabalism
basaltic  cabalist
bargained  gabardine
ablated  datable
broadtail  tailboard
aboard  abroad
alterable  relatable
amenable  nameable
faltboat  flatboat
ablating  bangtail
balas  balsa basal
bantam  batman
cascade  saccade
anarchic  characin
demarcate  macerated
catalogued  coagulated
candela  decanal
calendar  landrace
autoclaved  vacuolated
arcading  carangid cardigan
catalogues  coagulates
catalogue  coagulate
conservational  conversational
actualises  casualties
ascertain  sectarian
cameral  caramel ceramal
aspectual  capsulate
caveats  vacates
caveat  vacate
flatcar  fractal
cataloguing  coagulating
algorithmically  logarithmically
calligraphy  graphically
harmonicas  maraschino
archaism  charisma
anaphoric  pharaonic
racialist  satirical
ancillary  cranially
coattail  tailcoat
caiman  maniac
arnica  carina crania
caviar  variac
casually  causally
capsular  scapular
lascar  rascal sacral scalar
rascals  scalars
casual  causal
capstan  catnaps
actuators  autocrats
actuator  autocrat
headmaster  headstream
devaluate  evaluated
adulterating  triangulated
drainage  gardenia
drainages  gardenias
drayage  yardage
desalination  nationalised
derivational  revalidation
diamantine  maintained
salivated  validates
appraised  disappear
aspirated  disparate
grandam  grandma
altitudinal  latitudinal
adulations  laudations
adulation  laudation
adulatory  laudatory
damnatory  mandatory
drayman  yardman
dramas  madras
aweather  wheatear
awakener  reawaken
emanate  enemata manatee
fantasies  fantasise
manslaughter  slaughterman
analogies  analogise
appealing  lagniappe
magenta  magnate
assuages  sausages
assuage  sausage
gateways  getaways
gateway  getaway
rationalises  realisations
rationalise  realisation
parliaments  paternalism
rationales  senatorial
alienator  rationale
aestival  salivate
amentia  animate
aspirates  parasites
aspirate  parasite
parentally  paternally
parental  paternal prenatal
affair  raffia
hogmanay  mahogany
alarmingly  marginally
alarming  marginal
analogist  nostalgia
antagonist  stagnation
alga  gala
gamma  magma
arrogant  tarragon
pagan  panga
agar  raga
laminations  nationalism
animal  lamina
marital  martial
lanai  liana
lariat  latria
avails  saliva
anima  mania
maturation  natatorium
airman  marina
aspirants  partisans
aspirant  partisan
artisan  tsarina
ajar  raja
alma  lama
alumna  manual
lampas  plasma
appal  papal
altars  astral tarsal
mantrap  rampant
rattan  tartan
babbled  blabbed
babbler  blabber
babbling  blabbing
dabbler  drabble
barbed  dabber
billboard  broadbill
gabbler  grabble
absorber  reabsorb
rabbets  stabber
barbet  rabbet
babul  bubal
cambered  embraced
receivables  serviceable
celebrate  erectable
certifiable  rectifiable
coverable  revocable
backfire  fireback
cambering  embracing
binuclear  incurable
brisance  carbines
abscise  scabies
bookcase  casebook
bookcases  casebooks
backswept  sweptback
backrest  brackets
clambers  scramble
acerb  brace caber
blacklist  stickball
obscurantist  subtractions
bootjack  jackboot
bucksaw  sawbuck
carob  cobra
cabs  scab
bad  dab
bearded  breaded
abridged  brigaded
abided  baddie
broadside  sideboard
boarded  roadbed
adsorbed  roadbeds
abed  bade bead
bestialised  destabilise
derivable  driveable
denotable  detonable
breasted  debaters
berated  debater rebated
debase  seabed
bestead  debates
badge  debag
abridge  brigade
abridges  brigades
bondage  dogbane
badger  barged garbed
bipedal  piebald
bastioned  botanised
bandies  basined
braised  seabird
abides  biased
barked  braked debark
baled  blade
ambled  bedlam beldam blamed
marbled  rambled
balder  blared
brawled  warbled
blasted  stabled
bandore  broaden
breadnut  turbaned
abode  adobe
boarder  broader
aborted  borated
bared  beard bread debar
beards  breads debars
adverb  braved
based  beads
bayed  beady
abridging  brigading
adsorbing  signboard
bridal  ribald
braid  rabid
braids  disbar
badly  baldy
board  broad
adsorb  boards broads
bard  brad drab
bards  drabs
bauds  daubs
baud  daub
hibernate  inbreathe
marbleise  miserable
beastlier  liberates
revisable  verbalise
baleen  enable
settable  testable
beamers  besmear
barrette  berretta
beaters  berates rebates
beater  berate rebate
bagger  beggar
baggers  beggars
bleating  tangible
berating  rebating
bagel  gable
gambler  gambrel
bagels  gables
behaviourisms  misbehaviours
behaviourism  misbehaviour
abhorrent  earthborn
boathouses  houseboats
boathouse  houseboat
bathers  breaths
bather  breath
labile  liable
braille  liberal
blearily  reliably
bimetal  timbale
bestial  stabile
brainstem  tribesman
probationer  reprobation
botanise  obeisant
arbiter  rarebit
bizarre  brazier
braise  rabies
bestiary  sybarite
baiter  barite
battier  biretta
bake  beak
basketwork  workbasket
blankest  blankets
breakout  outbreak
baker  brake break
bakers  brakes breaks
bakes  beaks
able  bale
amble  blame melba
ambler  blamer marble ramble
blamers  marbles rambles
ambles  blames
nebula  unable
bloaters  storable
boatel  oblate
abler  baler blare blear
brawler  warbler
balers  blares
rebuttals  trustable
battler  brattle
bawler  warble
barely  barley bleary
bales  sable
ablest  bleats stable tables
battles  tablets
basely  belays
bleat  table
battle  tablet
amber  bream
beamy  embay maybe
bane  bean
boaster  boaters borates
boater  borate
bare  bear brae
bares  baser bears braes sabre
barest  breast
brazes  zebras
braze  zebra
basest  basset bastes beasts
abets  baste bates beast beats betas
abuse  beaus
abet  bate beat beat beta
bag  gab
barking  braking
ambling  blaming
marbling  rambling
brawling  warbling
blasting  stabling
bagnio  gabion
barong  brogan
brag  garb grab
brags  grabs
baht  bath
abolitionism  mobilisation
suability  usability
ablution  abutilon
bipolar  parboil
baptism  bitmaps
bastion  obtains
binary  brainy
alb  lab
balm  lamb
brumal  lumbar
balms  lambs
bloats  oblast
labs  slab
rumba  umbra
ambry  barmy
ban  nab
barony  baryon
barn  bran
unbar  urban
aborts  tabors
abort  tabor
boas  soba
boast  boats sabot
bar  bra
bars  bras
bats  stab tabs
bat  tab
abut  tuba
accidents  desiccant
accorders  scorecard
egocentrically  geocentrically
catechesis  catechises
accessories  accessorise
certifications  rectifications
certification  rectification
alchemic  chemical
mechanics  mischance
catechism  schematic
caroche  coacher
commercialist  microclimates
cocaine  oceanic
accretion  anorectic
icecap  ipecac
cackler  clacker crackle
clackers  crackles
conservancy  conversancy
accoutres  coruscate
accrues  accuser
thoracic  trochaic
conical  laconic
decimated  medicated
decadent  decanted
dachshund  dachshund
haddocks  shaddock
aced  dace
delicateness  delicatessen
defacer  refaced
chattered  ratcheted
containerised  inconsiderate
declaimer  reclaimed
celandine  decennial
centralised  credentials
credential  interlaced
decimates  medicates
decimate  medicate
denunciate  enunciated
considerate  desecration
cellared  recalled
cleared  creedal declare
declares  rescaled
cantered  decanter recanted
cratered  retraced terraced
catered  created reacted
deification  edification
fornicated  fractioned
cadge  caged
decimating  medicating
clanged  glanced
cadger  graced
chained  echidna
chalked  hackled
charmed  marched
cashed  chased
idealistic  italicised
decimation  medication
diametric  matricide
actinide  indicate
sidetrack  trackside
decimally  medically
claimed  decimal declaim medical
decimals  declaims
consolidates  disconsolate
citadels  dialects
citadel  deltaic dialect edictal
comedian  demoniac
coordinates  decorations
coordinate  decoration
narcotised  redactions
auctioned  cautioned education
radices  sidecar
decal  laced
collapsed  scalloped
carolled  collared
candle  lanced
calends  candles
classed  declass
camped  decamp
caned  dance
canoed  deacon
cedarn  craned dancer
durance  uncared
ascend  dances
decants  descant
cadent  canted decant
carped  redcap
scarped  scraped
arced  cadre cared cedar raced
sacred  scared
carted  redact traced
carved  craved
acted  cadet
dogwatch  watchdog
consolidations  disconsolation
dictionary  indicatory
monadic  nomadic
acids  asdic
dormancy  mordancy
categories  categorise
research  searcher
cheaters  hectares teachers
cheater  hectare teacher
escheat  teaches
peripatetic  precipitate
centralise  interlaces
creatively  reactively
imprecates  spermaceti
increate  iterance
creative  reactive
coeternal  tolerance
cleaners  cleanser
cleansers  clearness
cleanse  scalene
enclaves  valences
enclave  valence
percale  replace
peculates  speculate
cereals  rescale
amerce  raceme
creamers  screamer
contravene  covenanter
entrances  renascent
escape  peaces
careers  creaser
retraces  terraces
caterer  retrace terrace
cerate  cetera create
exacter  excreta
cafe  face
verifications  versification
fancies  fascine
factories  factorise
facer  farce
crafter  refract
cafes  faces
ethological  theological
cheating  teaching
cellaring  recalling
clearings  rescaling
amercing  creaming
retracing  terracing
catering  creating reacting
cogitates  geostatic
cargoes  corsage
ache  each
hatchets  thatches
empathic  emphatic
anchorite  antechoir
hurricane  raunchier
aspheric  seraphic
aphetic  hepatic
achier  cahier
cashiers  rachises
hackles  shackle
cholera  chorale
latches  satchel
chattel  latchet
charmer  marcher
matcher  rematch
sachem  schema
sachems  schemas
carthorse  orchestra
cheap  peach
eparch  preach
eparchy  preachy
chare  reach
archers  crasher
arches  casher chaser search
cashers  chasers crashes
chatters  ratchets
chatter  ratchet
aches  chase
cashes  chases
chaste  cheats sachet scathe
cheat  teach theca
ciliates  silicate
creationism  romanticise
excitation  intoxicate
antipyretic  pertinacity
creativity  reactivity
collinear  coralline
claimer  miracle reclaim
miracles  reclaims
climaxes  exclaims
countervail  involucrate
coastline  sectional
inoculates  inosculate
capelin  panicle pelican
clarinets  larcenist
calorie  cariole
epical  plaice
replicas  spiracle
slipcase  specials
curtailer  reticular
articles  recitals
article  recital
castile  elastic
lattice  tactile
cinema  iceman
amnesic  cinemas
ceramist  matrices
conservations  conversations
conservation  conversation
ascension  canonises
incessant  instances
ancients  instance
incorporate  procreation
creations  narcotise reactions
creation  reaction
canoeists  cessation
arcsine  arsenic
canister  scantier
cattiness  scantiest
crispate  practise
carries  scarier
cattier  citrate
packer  repack
packers  repacks
crake  creak
creaks  sacker
rackets  stacker
collapse  escallop
collapses  escallops
coveralls  overcalls
coverall  overcall
caller  cellar recall
callers  cellars recalls
camels  mescal
clean  lance
nuclear  unclear
cleans  lances
cantle  lancet
cuneal  unlace
coaler  oracle
lactose  locates
alcove  coeval
clappers  scrapple
carpel  parcel placer
parcels  scalper
clear  lacer
clears  sclera
cartels  clarets scarlet
cartel  claret rectal
carvel  claver
laces  scale
castle  cleats
calve  clave
acme  came mace
campers  scamper
creams  scream
acne  cane
canners  scanner
canoe  ocean
capstone  opencast
canoes  oceans
caner  carne crane nacre
casern  cranes rescan
centaurs  recusant
canter  carnet nectar recant trance
carven  cavern craven
secants  stances
ascent  enacts secant stance
capote  toecap
creators  reactors
creator  reactor
coarsest  coasters
coaster  coaters
avocet  octave
cape  pace
caper  crape pacer recap
scarper  scraper
scarpers  scrapers
capers  escarp pacers parsec scrape spacer
parsecs  scrapes spacers
carpets  precast spectra
capes  paces space
acre  care race
carer  racer
carers  racers
carters  craters tracers
carter  crater tracer
carver  craver
acres  cares races scare
caress  scares
actress  casters recasts
carets  caster caters crates reacts recast traces
causer  saucer
carves  craves
caret  carte cater crate react recta trace
acuter  curate
carve  caver crave
aces  case
causes  sauces
cause  sauce
avec  cave
fornicating  fractioning
infarction  infraction
frantic  infarct infract
falcon  flacon
clanging  glancing
microphotograph  photomicrograph
microphotography  photomicrography
algorithmic  logarithmic
chalking  hackling
charming  marching
nightcap  patching
arching  chagrin
chagrins  crashing
chartings  starching
cashing  chasing
pictography  typographic
incognisant  sanctioning
auctioning  cautioning
collapsing  scalloping
carolling  collaring
clasping  scalping
cognation  contagion
agnostic  coasting coatings
scarping  scraping
arcing  caring racing
carting  crating tracing
carving  craving
causing  saucing
chain  china
chariot  haricot
chairs  rachis
hacks  shack
macho  mocha
charm  march
anchor  archon rancho
anchors  ranchos
chants  snatch stanch
arch  char
chars  crash
charts  starch
coalitionist  solicitation
cilia  iliac
colonialist  oscillation
inoculations  inosculation
optically  topically
callosity  stoically
complaint  compliant
comprisal  proclaims
alnico  oilcan
capitol  optical topical
cattily  tacitly
anomic  camion manioc
atomics  somatic
constrain  transonic
canonist  contains sanction
incant  tannic
caisson  casinos
auction  caution
carious  curiosa
artic  triac
attics  static
attic  tacit
calk  kcal lack
lacks  slack
cask  sack
casks  sacks
stack  tacks
calm  clam
calms  clams
coal  cola
copula  cupola
carol  coral
claps  clasp scalp
clasps  scalps
crawls  scrawl
clays  scaly
clay  lacy
corpsman  crampons
carom  macro
camps  scamp
crams  scram
cams  scam
ancon  canon
cannot  canton
corona  racoon
cantors  cartons
cantor  carton
cans  scan
canst  scant
actors  castor scrota
ascot  coast coats tacos
coat  taco
carp  crap
carps  craps scarp scrap
scarps  scraps
arc  car
arcs  cars scar
crass  scars
acts  cast cats scat
act  cat
add  dad
demanded  maddened
dawdled  waddled
deadener  endeared
deranged  gardened
degrader  regarded
adhered  redhead
deadlier  derailed
demander  remanded
departed  predated
depraved  pervaded
demandingly  maddeningly
demanding  maddening
dangled  gladden
dashed  shaded
dallied  dialled
adenoids  anodised
dandier  drained
iodated  toadied
addle  laded
dandle  landed
duodenal  unloaded
ladder  larded
ladders  saddler
dawdler  drawled
addles  saddle
dawdles  swaddle waddles
dawdle  waddle
damned  demand madden
dander  darned
sadden  sanded
daunted  undated
adored  deodar
adder  dared dread
adders  dreads sadder
darted  traded
dawdling  waddling
downloads  woodlands
download  woodland
downward  drawdown
adds  dads
demagnetisers  disagreements
demagnetiser  disagreement
generated  greatened
released  resealed
enervated  venerated
attendee  edentate
seaweeds  seesawed
deafer  feared
deafest  defeats feasted
engrailed  realigned
endearing  grenadine
grenadier  rereading
endangers  greensand
angered  derange enraged grandee grenade
gardener  garnered
deranges  grenades
dungaree  underage
agreed  geared
ragweed  wagered
dealership  leadership
dealerships  leaderships
haltered  lathered
adhere  header
adheres  headers sheared
earthed  hearted
idealisers  serialised
dateline  entailed
realised  sidereal
detailer  elaterid retailed
denominate  emendation
determinant  detrainment
impersonated  predominates
estimated  meditates
denotative  detonative
pertained  repainted
arsenide  nearside
reinstated  straitened
readiest  steadier
disease  seaside
stateside  steadiest
deviates  sedative
leaden  leaned
unaltered  unrelated
leaped  pealed
elapsed  pleased
dealer  leader
dealers  leaders
alerted  altered related treadle
delayer  layered relayed
leased  sealed
demeanour  enamoured
amender  meander renamed
smartened  tradesmen
reamed  remade
dreamer  rearmed
mastered  streamed
earned  endear neared
denatures  sauntered
deanery  yearned
overrated  overtrade
pederast  predates
depraves  pervades
predate  tapered
deprave  pervade
dearer  reader reared reread
readers  rereads
arrested  serrated
erased  seared
dewater  watered
seated  sedate teased
deaf  fade
fangled  flanged
deflation  defoliant
defiant  fainted
default  faulted
farmed  framed
fader  fared
defray  frayed
aged  egad
deranging  gardening
draggle  gargled
dagger  ragged
gadget  tagged
alighted  gilthead
headspring  springhead
headlong  longhead
disintegration  disorientating
misaligned  misdealing misleading
despairingly  redisplaying
aligned  dealing leading
girandole  reloading
dealings  leadings
dreaming  margined midrange
agonised  diagnose
departing  predating
depraving  pervading
grained  reading
redrawing  rewarding
gradient  treading
angled  dangle
dangler  gnarled
danger  gander garden ranged
dangers  gardens
dragnet  granted
dowager  wordage
dosage  seadog
gaped  paged
grade  raged
grader  regard
graders  regards
gyrated  tragedy
hade  head
hailed  halide
admonisher  harmonised
headpin  pinhead
deanship  pinheads
aphides  diphase
hardier  harried
hassled  slashed
mashed  shamed
phased  shaped
dasher  shared
hardest  threads trashed
dearth  hatred thread
heads  shade
dashes  shades
deaths  hasted
death  hated
aide  idea
depositional  despoliation
editorials  idolatrise
dailies  liaised
admissive  misadvise
partitioned  trepidation
ideation  iodinate
adenitis  dainties
dairies  diaries
ailed  ideal
dallier  dialler rallied
mailed  medial
misdeal  mislead
denial  nailed
idolater  tailored
diastole  isolated
dovetail  violated
aliped  elapid
displayer  redisplay
platitudes  stipulated
derail  railed redial
derails  redials
ideals  ladies sailed
details  dilates
altitudes  latitudes
detail  dilate tailed
altitude  latitude
aimed  amide media
maiden  median
maidens  medians sideman
amortised  mediators
admirer  married
admirers  disarmer
admires  misread sidearm
denotation  detonation
inundates  unstained
notarised  ordinates
ordinate  rationed
antidotes  stationed
sandier  sardine
aridness  sardines
detrains  strained
detrain  trained
indurate  urinated
detains  instead sainted stained
diaper  paired repaid
aspired  despair diapers praised
partied  pirated
tardier  tarried
astride  tirades
aides  aside ideas
asides  daises
sideways  waysides
sideway  wayside
adjusters  readjusts
adjuster  readjust
demark  marked
knead  naked
darken  ranked
kneads  snaked
drake  raked
skated  staked tasked
dale  deal lade lead
allotted  totalled
lamed  medal
damsel  medals
eland  laden
darnel  lander
slander  snarled
adultness  dauntless
dentals  slanted
leopard  paroled
loader  ordeal reload
loaders  ordeals reloads
leotards  lodestar
paled  pedal plead
dapple  lapped
dapples  slapped
lapsed  pedals pleads
dales  deals leads
deltas  lasted salted slated staled
dealt  delta
delay  leady
dame  edam made mead
amend  named
mundane  unnamed
daemon  moaned
underarm  unmarred
maunder  unarmed
amends  desman
unmated  untamed
radome  roamed
damper  ramped
armed  derma dream
mated  tamed
annoyed  anodyne
atoned  donate
append  napped
appends  snapped
panted  pedant pentad
darner  errand
sander  snared
asunder  danseur
wanders  wardens
ardent  ranted
wander  warden warned
denary  yarned
deans  sedan
attuned  taunted
predators  teardrops
predator  prorated teardrop
portrayed  predatory
adore  oared
adorer  roared
adores  soared
dapper  rapped
drape  padre raped
drapers  sparred
drapes  parsed rasped spared spread
depart  parted petard prated
passed  spades
adepts  pasted
adept  taped
dare  dear read
darer  drear
starred  traders
drawers  redraws rewards
darter  retard tarred trader
drawer  redraw reward warder warred
dares  dears reads
stared  trades treads
adverts  starved
dater  rated trade tread
ratted  tetrad
rayed  ready
dates  sated stead
stated  tasted
stayed  steady
sawed  wades
awed  wade
adze  daze
grading  niggard
dashing  shading
darling  larding
algoid  dialog
darting  trading
